FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3811037870,A320,SIN,64,BY,51,,1,0,
3811037870,A320,SIN,592,BY,31,,1,0,
3811037870,A320,SIN,11,BY,32,,1,0,
3811037782,A320,SIN,430,BY,32,,1,0,
3811037782,A320,SIN,25,T,51,,1,0,
3811037782,A320,SIN,430,BY,31,,1,0,
3811037782,A320,SIN,447,BY,13,,1,0,
3811037782,A320,SIN,447,BY,12,,1,0,
3811037782,A320,SIN,447,BY,11,,1,0,
3811567297,A320,LZG,373,EC,3H,,1,0,
3811567297,A320,LZG,705,EC,1H,,1,0,
3811075594,A320,PEK,500,C,5H,,1,0,
3811075594,A320,PEK,718,B,4H,,1,0,
3811075594,A320,PEK,1500,C,3H,,1,0,
3811075594,A320,PEK,2000,C,1H,,1,0,
3811566854,A320,LXA,200,C,3H,,1,0,
3811566854,A320,LXA,330,C,3H,,1,0,
3811566854,A320,LXA,1010,BY,1H,,1,0,
3811566900,A320,LXA,200,C,4H,,1,0,
3811566900,A320,LXA,330,C,3H,,1,0,
3811566900,A320,LXA,1010,BY,1H,,1,0,
3811075790,A350,PEK,1246,C,24P,P6P,1,0,
3811075790,A350,PEK,992,C,13P,P1P,1,0,
3811075790,A350,PEK,992,C,23P,P6P,1,0,
3811075790,A350,PEK,992,C,22P,P6P,1,0,
3811075790,A350,PEK,992,C,21P,P6P,1,0,
3811075790,A350,PEK,992,C,11P,P6P,1,0,
3811075790,A350,PEK,1500,C,42P,P6P,1,0,
3811075790,A350,PEK,1500,C,41P,P6P,1,0,
3811075790,A350,PEK,1500,C,43P,P6P,1,0,
3811075790,A350,PEK,1500,C,32P,P6P,1,0,
3811075790,A350,PEK,1500,C,31P,P6P,1,0,
3811075790,A350,PEK,748,B,13R,LD3,1,0,
3811075790,A350,PEK,748,B,13L,LD3,1,0,
3812307431,A320,JZH,750,B,1H,,1,0,
3812307431,A320,JZH,1500,C,3H,,1,0,
3812307431,A320,JZH,1200,C,4H,,1,0,
3812307431,A320,JZH,644,C,1H,,1,0,
3811087735,A320,TFU,1000,B,1H,,1,0,
3811070881,A319,MIG,834,BY,1H,,1,0,
3811566950,A319,LXA,1024,BY,1H,,1,0,
3811566950,A319,LXA,335,C,4H,,1,0,
3811566950,A319,LXA,96,C,4H,,1,0,
3811566950,A319,LXA,294,C,4H,,1,0,
3811566950,A319,LXA,204,C,4H,,1,0,
3811567514,A321,LZO,624,BY,4H,,1,0,
3812160261,A321,CAN,389,BY,3H,,1,0,
3811113426,A321,YBP,434,BY,4H,,1,0,
3811113426,A321,YBP,1000,C,3H,,1,0,
3811113426,A321,YBP,1000,C,2H,,1,0,
3811113426,A321,YBP,589,C,1H,,1,0,
3812161013,A321,CAN,518,BY,3H,,1,0,
3812161013,A321,CAN,140,C,3H,,1,0,
3811502493,A320,HRB,130,C,3H,,1,0,
3811502493,A320,HRB,223,B,1H,,1,0,
3811077558,A320,PEK,225,BY,1H,,1,0,
3812269479,A320,SYX,662,C,3H,,1,0,
3812269479,A320,SYX,300,B,1H,,1,0,
3812269479,A320,SYX,5,EC,1H,,1,0,
3811077727,A320,PEK,53,C,5H,,1,0,
3811077727,A320,PEK,727,C,3H,,1,0,
3811077727,A320,PEK,673,C,1H,,1,0,
3811077727,A320,PEK,615,BY,1H,,1,0,
3811064616,A320,JHG,204,B,4H,,1,0,
3811064616,A320,JHG,554,BY,1H,,1,0,
3811064616,A320,JHG,399,BY,1H,,1,0,
3811070923,A320,MIG,360,C,3H,,1,0,
3811070923,A320,MIG,89,C,3H,,1,0,
3811070923,A320,MIG,400,C,1H,,1,0,
3811070923,A320,MIG,253,B,1H,,1,0,
3811070923,A320,JHG,115,B,4H,,1,0,
3811070794,A320,MIG,195,BY,3H,,1,0,
3811070794,A320,PEK,80,BY,1H,,1,0,
3811070794,A320,PEK,160,C,1H,,1,0,
3811077609,A320,PEK,160,C,1H,,1,0,
3811077609,A320,PEK,160,BY,1H,,1,0,
3811077609,A320,PEK,246,BY,3H,,1,0,
3811107548,A320,URC,60,C,3H,,1,0,
3811107548,A320,URC,242,C,3H,,1,0,
3811107548,A320,URC,391,B,1H,,1,0,
3811078685,A320,PEK,461,BY,1H,,1,0,
3811078685,A320,PEK,53,T,1H,,1,0,
3811078685,A320,PEK,100,BY,3H,,1,0,
3812160008,A321,CAN,530,C,3H,,1,0,
3812160008,A321,CAN,524,C,2H,,1,0,
3812160008,A321,CAN,446,C,2H,,1,0,
3812160008,A321,CAN,436,C,5H,,1,0,
3812160008,A321,CAN,130,C,1H,,1,0,
3812160008,A321,CAN,12,C,3H,,1,0,
3812160008,A321,CAN,391,B,4H,,1,0,
3812160008,A321,CAN,696,C,3H,,1,0,
3811061308,A321,HGH,828,BY,3H,,1,0,
3811061308,A321,HGH,57,BY,3H,,1,0,
3811061308,A321,HGH,216,M,5H,,1,0,
3812160105,A321,CAN,510,B,3H,,1,0,
3811061384,A321,HGH,514,BY,4H,,1,0,
