FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3833399073,A320,SIN,12,T,5,,1,0,
3833399073,A320,SIN,1275,BY,3,,1,0,
3833399073,A320,SIN,674,C,1,,1,0,
3833399073,A320,SIN,574,C,1,,1,0,
3833399073,A320,SIN,1177,BY,4,,1,0,
3833399146,A320,SIN,326,BY,32,,1,0,
3833399146,A320,SIN,520,BY,31,,1,0,
3833399146,A320,SIN,106,BY,52,,1,0,
3833441605,A330,TFU,2,EC,52,BULK,1,0,
3834627609,A319,CTU,3000,C,4H,,1,0,
3834627609,A319,CTU,300,B,5H,,1,0,
3834627609,A319,CTU,2000,C,1H,,1,0,
3833920140,A320,LZO,549,BY,1H,,1,0,
3834527211,A320,CAN,414,BY,1H,,1,0,
3833465405,A320,YBP,636,BY,1H,,1,0,
3833465405,A320,YBP,495,C,4H,,1,0,
3834528150,A320,CAN,175,BY,1H,,1,0,
3833463264,A320,XIC,848,BY,1H,,1,0,
3833463264,A320,XIC,202,C,1H,,1,0,
3834528002,A320,CAN,999,B,1H,,1,0,
3834528002,A320,CAN,219,B,1H,,1,0,
3834620946,A321,SYX,335,C,2H,,1,0,
3834620946,A321,SYX,347,C,3H,,1,0,
3834620946,A321,SYX,791,B,4H,,1,0,
3834620946,A321,SYX,7,B,4H,,1,0,
3834620946,A321,SYX,384,B,3H,,1,0,
3833433550,A321,PEK,493,C,5H,,1,0,
3833433550,A321,PEK,741,C,3H,,1,0,
3833433550,A321,PEK,842,C,3H,,1,0,
3833433550,A321,PEK,528,C,2H,,1,0,
3833433550,A321,PEK,669,BY,4H,,1,0,
3833434336,A320,PEK,900,BY,1H,,1,0,
3833466898,A320,ZHY,27,B,4H,,1,0,
3833466898,A320,KMG,175,C,1H,,1,0,
3833466898,A320,KMG,68,B,1H,,1,0,
3833424819,A320,KMG,478,B,1H,,1,0,
3833424819,A320,KMG,175,C,1H,,1,0,
3833424819,A320,KMG,326,BY,3H,,1,0,
3833424819,A320,KMG,18,T,3H,,1,0,
3833466839,A320,ZHY,263,BY,4H,,1,0,
3833466839,A320,PEK,840,C,1H,,1,0,
3833466839,A320,PEK,588,BY,3H,,1,0,
3833434667,A320,PEK,840,C,1H,,1,0,
3833434667,A320,PEK,688,BY,3H,,1,0,
3833434667,A320,PEK,129,BY,4H,,1,0,
3833434667,A320,PEK,300,BY,4H,,1,0,
3834526949,A321,CAN,762,C,3H,,1,0,
3834526949,A321,CAN,684,C,2H,,1,0,
3834526949,A321,CAN,458,C,3H,,1,0,
3834526949,A321,CAN,394,C,2H,,1,0,
3834526949,A321,CAN,1000,B,4H,,1,0,
3834526949,A321,CAN,50,B,4H,,1,0,
3833419372,A321,HGH,468,BY,4H,,1,0,
3833419372,A321,HGH,832,C,3H,,1,0,
3833419372,A321,HGH,700,M,2H,,1,0,
3833419372,A321,HGH,351,M,1H,,1,0,
3833828910,A320,HRB,800,B,1H,,1,0,
3833828910,A320,HRB,21,B,1H,,1,0,
3833420292,A320,HGH,598,C,3H,,1,6,
3833420292,A320,HGH,3,M,3H,,1,0,
3833420292,A320,HGH,380,BY,1H,,1,0,
3833466680,A320,ZAT,423,B,1H,,1,0,
3833827125,A320,HGH,929,C,1H,,1,0,
3833827125,A320,HGH,237,BY,4H,,1,0,
3833828975,A320,HRB,552,C,3H,,1,0,
3833828975,A320,HRB,640,B,1H,,1,0,
3833828975,A320,HRB,1,EC,1H,,1,0,
3833420354,A320,HGH,409,BY,1H,,1,0,
3833420354,A320,HGH,410,BY,3H,,1,0,
3833920176,A321,LZO,600,C,3H,,1,0,
3833920176,A321,LZO,446,C,2H,,1,0,
3833920176,A321,LZO,436,C,2H,,1,0,
3833920176,A321,LZO,382,C,5H,,1,0,
3833920176,A321,LZO,65,B,4H,,1,0,
3833920176,A321,LZO,624,C,3H,,1,0,
3833420634,A321,HGH,246,BY,3H,,1,0,
3833465543,A320,YBP,262,B,4H,,1,0,
3833465543,A320,YBP,640,C,1H,,1,0,
3833465543,A320,YBP,594,C,3H,,1,0,
3833465543,A320,YBP,372,C,1H,,1,0,
3833465543,A320,YBP,14,C,1H,,1,0,
3833465543,A320,JHG,41,B,5H,,1,0,
3834658050,A320,JHG,99,B,5H,,1,0,
3834658050,A320,JHG,158,BY,1H,,1,0,
3833465618,A320,YBP,163,BY,3H,,1,0,
3833465618,A320,HGH,229,BY,1H,,1,0,
3833465618,A320,HGH,350,C,1H,,1,0,
3833826955,A320,HGH,350,C,1H,,1,0,
3833826955,A320,HGH,592,BY,1H,,1,0,
3833826955,A320,HGH,113,BY,3H,,1,0,
3833826955,A320,HGH,345,C,3H,,1,0,
3833426738,A320,LUM,630,B,3H,,1,0,
3833420432,A320,HGH,397,BY,4H,,1,0,
3833420432,A320,HGH,898,C,3H,,1,0,
3833420432,A320,HGH,616,C,4H,,1,0,
3833420432,A320,HGH,1034,C,1H,,1,0,
3833430239,A319,NNG,826,C,1H,,1,0,
3833430239,A319,NNG,668,C,4H,,1,0,
3833430239,A319,NNG,302,C,5H,,1,0,
3833430239,A319,NNG,12,M,5H,,1,0,
3833430239,A319,NNG,275,B,4H,,1,0,
3833826722,A319,HGH,508,C,4H,,1,4,
3833826722,A319,HGH,330,B,1H,,1,0,
3833428046,A320,NGB,19,C,5H,,1,0,
3833428046,A320,NGB,313,BY,4H,,1,0,
3834620910,A320,SYX,800,BY,1H,,1,0,
3834620910,A320,SYX,168,C,1H,,1,0,
3834620910,A320,SYX,482,BY,1H,,1,0,
3833458581,A321,URC,120,M,5H,,1,0,
3833458581,A321,URC,459,BY,3H,,1,0,
3833458581,A321,URC,842,B,4H,,1,0,
3833458581,A321,URC,186,M,4H,,1,0,
3833458581,A321,URC,490,C,1H,,1,0,
3833458581,A321,URC,814,C,2H,,1,0,
3833458581,A321,URC,365,C,5H,,1,0,
3833406856,A321,CKG,778,C,5H,,1,0,
3833406856,A321,CKG,157,C,1H,,1,0,
3833406856,A321,CKG,229,C,1H,,1,0,
3833406856,A321,CKG,1100,C,2H,,1,0,
3833406856,A321,CKG,40,C,1H,,1,0,
3833406856,A321,CKG,156,BY,4H,,1,0,
3833406856,A321,URC,459,BY,3H,,1,0,
3833406856,A321,CKG,61,T,4H,,1,0,
3833406856,A321,CKG,241,BY,1H,,1,0,
3833408176,A321,CKG,402,BY,4H,,1,0,
3833408176,A321,SYX,722,BY,2H,,1,0,
3833408176,A321,SYX,170,C,2H,,1,0,
3833408176,A321,CKG,300,BY,5H,,1,0,
3833408176,A321,CKG,1080,C,3H,,1,0,
3833464193,A320,XNN,75,C,1H,,1,0,
3833464193,A320,XNN,79,C,1H,,1,0,
