FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3762172639,A320,SIN,560,BY,31,,1,0,
3762172639,A320,SIN,560,BY,32,,1,0,
3762172639,A320,SIN,560,BY,42,,1,0,
3762172639,A320,SIN,233,BY,41,,1,0,
3762172639,A320,SIN,50,BY,51,,1,0,
3762192583,A320,GYU,200,EC,4H,,1,0,
3762192583,A320,GYU,200,EC,3H,,1,0,
3762192583,A320,GYU,560,EC,1H,,1,0,
3762243828,A319,XIY,500,BY,1H,,1,0,
3762222633,A320,TFU,0,BY,1H,,1,0,
3763493159,A330,CTU,10,BY,52,BULK,1,0,
3763493159,A330,XIY,185,BY,24L,LD3,1,0,
3763493159,A330,XIY,185,BY,24R,LD3,1,0,
3763493159,A330,CTU,1035,C,42P,P6P,1,0,
3763493159,A330,CTU,1035,C,41P,P1P,1,0,
3763493159,A330,CTU,1035,C,32P,P6P,1,0,
3763493159,A330,XIY,185,BY,23R,LD3,1,0,
3763493159,A330,CTU,10,C,53,BULK,1,0,
3763493159,A330,XIY,1325,C,33P,P1P,1,0,
3763493159,A330,XIY,935,C,24P,P6P,1,0,
3762208649,A320,NKG,608,BY,1H,,1,0,
3762208649,A320,NKG,7,BY,1H,,1,0,
3762189776,A320,DYG,195,BY,1H,,1,0,
3762206891,A319,MIG,864,BY,1H,,1,0,
3762206891,A319,MIG,16,T,1H,,1,0,
3762743077,A319,LXA,456,BY,1H,,1,0,
3762743077,A319,LXA,860,C,4H,,1,0,
3762743077,A319,LXA,81,C,5H,,1,0,
3762245287,A321,YBP,329,BY,4H,,1,0,
3763384379,A321,CAN,615,BY,3H,,1,0,
3763384379,A321,CAN,156,C,3H,,1,0,
3762243033,A320,XIC,575,BY,1H,,1,0,
3762243033,A320,XIC,10,C,1H,,1,0,
3763384348,A320,CAN,140,C,1H,,1,0,
3763384348,A320,CAN,0,B,1H,,1,0,
3762238976,A320,URC,110,C,3H,,1,0,
3762238976,A320,URC,15,C,3H,,1,0,
3762238976,A320,URC,673,B,1H,,1,0,
3762212745,A320,PEK,121,BY,1H,,1,0,
3762248384,A320,ZHY,0,B,4H,,1,0,
3762248384,A320,KMG,14,B,4H,,1,0,
3762248384,A320,KMG,391,B,1H,,1,0,
3762200475,A320,KMG,626,B,1H,,1,0,
3762200475,A320,KMG,14,B,4H,,1,0,
3762200475,A320,KMG,678,C,1H,,1,2,
3762200475,A320,KMG,678,C,1H,,1,2,
3762200475,A320,KMG,677,C,1H,,1,2,
3762200475,A320,KMG,0,BY,4H,,1,0,
