FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3819664248,A320,SIN,488,BY,31,,1,0,
3819664248,A320,SIN,488,BY,32,,1,0,
3819664248,A320,SIN,36,BY,13,,1,0,
3819664248,A320,SIN,36,BY,12,,1,0,
3819664248,A320,SIN,38,BY,11,,1,0,
3819705132,A350,PEK,748,BY,13R,LD3,1,0,
3819705132,A350,PEK,748,BY,13L,LD3,1,0,
3819705132,A350,PEK,1246,C,31P,P6P,1,0,
3819705132,A350,PEK,1246,C,32P,P6P,1,0,
3819705132,A350,PEK,1246,C,41P,P6P,1,0,
3819705132,A350,PEK,1246,C,42P,P6P,1,0,
3819705132,A350,PEK,1246,C,24P,P6P,1,0,
3819705132,A350,PEK,1246,C,23P,P6P,1,0,
3819705132,A350,PEK,1246,C,11P,P6P,1,0,
3819705132,A350,PEK,1246,C,21P,P6P,1,0,
3819705132,A350,PEK,1246,C,43P,P6P,1,0,
3819705132,A350,PEK,1246,C,22P,P6P,1,0,
3819705132,A350,PEK,1246,C,13P,P1P,1,0,
3820203870,A321,LZO,5,T,3H,,1,0,
3820203870,A321,LZO,618,BY,3H,,1,0,
3820777543,A321,CAN,332,BY,1H,,1,0,
3819734444,A321,YBP,598,BY,4H,,1,0,
3819734444,A321,YBP,375,C,5H,,1,0,
3819734444,A321,YBP,645,C,3H,,1,0,
3819734444,A321,YBP,195,C,3H,,1,0,
3819734444,A321,YBP,597,C,2H,,1,0,
3819734444,A321,YBP,113,C,2H,,1,0,
3819734444,A321,YBP,210,C,1H,,1,0,
3820778324,A321,CAN,75,BY,4H,,1,0,
3820778324,A321,CAN,5,BY,4H,,1,0,
3819732853,A320,XIC,704,BY,1H,,1,0,
3819732853,A320,XIC,374,C,4H,,1,0,
3820778267,A320,CAN,120,B,1H,,1,0,
3820928752,A321,SYX,816,B,4H,,1,0,
3820928752,A321,SYX,104,C,3H,,1,0,
3820928752,A321,SYX,17,C,3H,,1,0,
3820928752,A321,SYX,5,B,4H,,1,0,
