FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3888775668,A320,SIN,436,BY,42,,1,0,
3888775668,A320,SIN,369,C,13,,1,0,
3888775668,A320,SIN,369,C,12,,1,0,
3888775668,A320,SIN,532,BY,11,,1,0,
3888775668,A320,SIN,436,BY,32,,1,0,
3888775668,A320,SIN,436,BY,31,,1,0,
3888775668,A320,SIN,436,BY,41,,1,0,
3888775897,A320,SIN,640,BY,32,,1,0,
3888775897,A320,SIN,640,BY,31,,1,0,
3888775897,A320,SIN,236,BY,41,,1,0,
3888775897,A320,SIN,640,BY,42,,1,0,
3888775897,A320,SIN,143,BY,51,,1,0,
3888775897,A320,SIN,320,BY,13,,1,0,
3888796728,A320,LZO,888,BY,1H,,1,0,
3888796728,A320,LZO,68,C,4H,,1,0,
3888780254,A320,CAN,485,BY,1H,,1,0,
3888780254,A320,CAN,2,C,1H,,1,0,
3888824247,A320,YBP,387,C,5H,,1,0,
3888824247,A320,YBP,275,C,3H,,1,0,
3888824247,A320,YBP,601,BY,4H,,1,0,
3888824247,A320,YBP,36,BY,4H,,1,0,
3888824247,A320,YBP,915,C,1H,,1,0,
3888781400,A320,CAN,400,BY,4H,,1,0,
3888781400,A320,CAN,93,BY,4H,,1,0,
3888781400,A320,CAN,125,C,4H,,1,0,
3888821902,A320,XIC,658,BY,1H,,1,0,
3888821902,A320,XIC,100,C,1H,,1,0,
3888781329,A320,CAN,295,B,1H,,1,0,
3888808256,A320,SYX,380,C,1H,,1,0,
3888808256,A320,SYX,616,C,3H,,1,0,
3888808256,A320,SYX,205,C,4H,,1,0,
3888808256,A320,SYX,558,B,1H,,1,0,
3888805407,A320,PEK,380,C,4H,,1,0,
3888805407,A320,PEK,814,C,3H,,1,0,
3888805407,A320,PEK,535,C,1H,,1,0,
3888805407,A320,PEK,825,BY,1H,,1,0,
3888819224,A320,URC,387,C,3H,,1,0,
3888819224,A320,URC,442,B,1H,,1,0,
3888805713,A320,PEK,500,BY,1H,,1,0,
3888805713,A320,PEK,557,BY,3H,,1,0,
3888825124,A320,ZHY,26,B,4H,,1,0,
3888825124,A320,KMG,220,C,3H,,1,0,
3888825124,A320,KMG,345,B,1H,,1,0,
3888802251,A320,KMG,582,B,1H,,1,0,
3888802251,A320,KMG,220,C,3H,,1,0,
3888802251,A320,KMG,0,BY,4H,,1,0,
3888825075,A320,ZHY,258,BY,4H,,1,0,
3888825075,A320,PEK,1493,C,1H,,1,0,
3888825075,A320,PEK,664,C,3H,,1,0,
3888825075,A320,PEK,47,C,5H,,1,0,
3888825075,A320,PEK,41,M,5H,,1,0,
3888825075,A320,PEK,469,BY,4H,,1,0,
3888805847,A320,PEK,1493,C,1H,,1,0,
3888805847,A320,PEK,664,C,3H,,1,0,
3888805847,A320,PEK,660,BY,4H,,1,0,
