FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3817930773,A320,SIN,449,BY,42,,1,0,
3817930773,A320,SIN,126,T,52,,1,0,
3817930773,A320,SIN,358,C,13,,1,0,
3817930773,A320,SIN,358,C,12,,1,0,
3817930773,A320,SIN,358,C,11,,1,0,
3817930773,A320,SIN,449,BY,31,,1,0,
3817930773,A320,SIN,449,BY,32,,1,0,
3817930773,A320,SIN,449,BY,41,,1,0,
3817930851,A320,SIN,224,BY,51,,1,0,
3817930851,A320,SIN,61,BY,41,,1,0,
3817930851,A320,SIN,544,BY,42,,1,0,
3817930851,A320,SIN,544,BY,32,,1,0,
3817930851,A320,SIN,544,BY,31,,1,0,
3818477281,A319,LXA,883,B,4H,,1,0,
3818477281,A319,LXA,1500,C,1H,,1,0,
3818477281,A319,LXA,334,C,4H,,1,0,
3818477281,A319,LXA,314,M,5H,,1,0,
3818477915,A321,LZO,450,BY,4H,,1,0,
3819140323,A321,CAN,800,BY,3H,,1,0,
3819140323,A321,CAN,17,BY,3H,,1,0,
3819140323,A321,CAN,170,C,3H,,1,0,
3818002356,A321,YBP,525,BY,4H,,1,0,
3818002356,A321,YBP,386,C,2H,,1,0,
3818002356,A321,YBP,562,C,3H,,1,0,
3818002356,A321,YBP,125,C,5H,,1,0,
3818002356,A321,YBP,162,C,3H,,1,0,
3818002356,A321,YBP,364,C,2H,,1,0,
3819141634,A321,CAN,242,BY,4H,,1,0,
3818413784,A320,HRB,82,C,1H,,1,0,
3818413784,A320,HRB,445,B,1H,,1,0,
3817969634,A320,PEK,205,BY,3H,,1,0,
3819210081,A320,SYX,53,C,1H,,1,0,
3819210081,A320,SYX,884,B,1H,,1,0,
3817969974,A320,PEK,405,C,1H,,1,0,
3817969974,A320,PEK,774,C,1H,,1,0,
3817969974,A320,PEK,812,BY,3H,,1,0,
3817956880,A320,JHG,204,B,4H,,1,0,
3817956880,A320,JHG,822,BY,1H,,1,0,
3817962970,A320,MIG,299,C,1H,,1,0,
3817962970,A320,MIG,263,B,1H,,1,0,
3817962970,A320,JHG,140,B,4H,,1,0,
3817962896,A320,MIG,689,BY,1H,,1,0,
3817962896,A320,PEK,60,BY,3H,,1,0,
3817969863,A320,PEK,60,BY,3H,,1,0,
3817969863,A320,PEK,600,BY,1H,,1,0,
3817969863,A320,PEK,28,BY,1H,,1,0,
3817969863,A320,PEK,815,C,3H,,1,0,
3817969863,A320,PEK,1210,C,1H,,1,0,
3817969863,A320,PEK,11,BY,4H,,1,0,
3817996793,A320,URC,11,C,3H,,1,0,
3817996793,A320,URC,114,C,3H,,1,0,
3817996793,A320,URC,121,B,1H,,1,0,
3817970527,A320,PEK,511,BY,1H,,1,0,
3817970527,A320,PEK,200,BY,3H,,1,0,
3817970527,A320,PEK,170,BY,1H,,1,0,
3817970527,A320,PEK,86,T,1H,,1,0,
3819140026,A321,CAN,826,C,3H,,1,0,
3819140026,A321,CAN,734,C,3H,,1,0,
3819140026,A321,CAN,654,C,2H,,1,0,
3819140026,A321,CAN,518,C,2H,,1,0,
3819140026,A321,CAN,480,C,1H,,1,0,
3819140026,A321,CAN,472,C,5H,,1,0,
3819140026,A321,CAN,254,B,4H,,1,0,
3819140026,A321,CAN,5,B,4H,,1,0,
3817953860,A321,HGH,607,BY,4H,,1,0,
3817953860,A321,HGH,9,BY,4H,,1,0,
3817953860,A321,HGH,334,M,3H,,1,0,
3819140122,A321,CAN,558,C,2H,,1,0,
3819140122,A321,CAN,456,C,2H,,1,0,
3819140122,A321,CAN,414,C,3H,,1,0,
3819140122,A321,CAN,530,B,4H,,1,0,
3819140122,A321,CAN,265,B,5H,,1,0,
3819140122,A321,CAN,612,C,3H,,1,0,
3817953937,A321,HGH,743,BY,4H,,1,0,
3817953937,A321,HGH,712,M,3H,,1,0,
3817953937,A321,HGH,625,C,2H,,1,0,
3818413750,A320,HRB,942,B,3H,,1,0,
3818413750,A320,HRB,10,B,3H,,1,0,
3817954953,A320,HGH,61,M,3H,,1,1,
3817954953,A320,HGH,354,BY,1H,,1,0,
3817954953,A320,HGH,768,C,3H,,1,6,
3817957482,A321,KMG,740,C,3H,,1,0,
3817957482,A321,KMG,716,C,3H,,1,0,
3817957482,A321,KMG,394,C,2H,,1,0,
3817957482,A321,KMG,370,C,5H,,1,0,
3817957482,A321,KMG,102,C,2H,,1,0,
3817957482,A321,KMG,600,B,4H,,1,0,
3817957482,A321,KMG,253,B,4H,,1,0,
3817957482,A321,KMG,1,EC,1H,,1,0,
3817957482,A321,KMG,177,B,3H,,1,0,
3817954999,A321,HGH,394,C,1H,,1,0,
3817954999,A321,HGH,1153,C,2H,,1,0,
3817954999,A321,HGH,983,C,3H,,1,0,
3817954999,A321,HGH,252,M,3H,,1,0,
3817954999,A321,HGH,219,M,5H,,1,0,
3817954999,A321,HGH,1183,BY,4H,,1,0,
3817959898,A319,KWE,66,B,1H,,1,0,
3817959898,A319,KWE,26,C,1H,,1,0,
3817959898,A319,KWE,22,C,4H,,1,0,
3817959898,A319,JHG,86,B,4H,,1,0,
3817956796,A319,JHG,120,B,4H,,1,0,
