FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3767474027,A320,SIN,70,T,41,,1,0,
3767474027,A320,SIN,283,BY,32,,1,0,
3767474027,A320,SIN,283,BY,31,,1,0,
3767474027,A320,SIN,283,BY,42,,1,0,
3767474027,A320,SIN,213,BY,41,,1,0,
3767483643,A330,CTU,414,BY,13R,LD3,1,0,
3767483643,A330,CTU,1923,C,32P,P6P,1,0,
3767483643,A330,CTU,2032,C,41P,P6P,1,0,
3767483643,A330,CTU,2386,C,42P,P6P,1,0,
3767483643,A330,CTU,414,BY,11R,LD3,1,0,
3767483643,A330,CTU,417,BY,11L,LD3,1,0,
3767483643,A330,CTU,414,BY,12L,LD3,1,0,
3767483643,A330,CTU,414,BY,12R,LD3,1,0,
3767528326,A330,TFU,1923,C,24P,P6P,1,0,
3767528326,A330,TFU,2032,C,31P,P6P,1,0,
3767528326,A330,TFU,2386,C,32P,P6P,1,0,
3767528326,A330,TFU,415,BY,41L,LD3,1,0,
3767528326,A330,TFU,415,BY,41R,LD3,1,0,
3767528326,A330,TFU,414,BY,42L,LD3,1,0,
3767528326,A330,TFU,415,BY,42R,LD3,1,0,
3767528326,A330,TFU,414,BY,43R,LD3,1,0,
3767533039,A330,TFU,1335,C,21P,P6P,1,0,
3767533039,A330,TFU,1435,C,22P,P6P,1,0,
3767533039,A330,TFU,1535,C,31P,P6P,1,0,
3767533039,A330,TFU,2167,C,32P,P6P,1,0,
3767533039,A330,TFU,524,BY,41L,LD3,1,0,
3767533039,A330,TFU,527,BY,42R,LD3,1,0,
3767533039,A330,TFU,524,BY,42L,LD3,1,0,
3767533039,A330,TFU,524,BY,41R,LD3,1,0,
3767533039,A330,TFU,255,BY,43R,LD3,1,0,
3767533039,A330,TFU,50,BY,53,BULK,1,0,
3767533125,A330,TFU,500,BY,42L,LD3,1,0,
3767533125,A330,TFU,599,BY,42R,LD3,1,0,
3767533125,A330,TFU,500,BY,41R,LD3,1,0,
3767533125,A330,TFU,500,BY,41L,LD3,1,0,
3767533125,A330,TFU,255,T,43R,LD3,1,0,
3767533125,A330,TFU,1618,C,21P,P6P,1,0,
3767533125,A330,TFU,1618,C,22P,P6P,1,0,
