FLIGHT,TYPE,DEST,WEIGHT,FLOOR TYPE,POS,CONT,PRIORITY,VOLUME,SPECIAL CARGO
3760458034,A320,SIN,226,BY,11,,1,0,
3760458034,A320,SIN,31,T,53,,1,0,
3760458034,A320,SIN,293,BY,32,,1,0,
3760458034,A320,SIN,294,BY,31,,1,0,
3760458034,A320,SIN,226,BY,13,,1,0,
3760458034,A320,SIN,226,BY,12,,1,0,
3760458085,A320,SIN,560,BY,31,,1,0,
3760458085,A320,SIN,341,BY,41,,1,0,
3760458085,A320,SIN,560,BY,32,,1,0,
3760458085,A320,SIN,560,BY,42,,1,0,
3760458085,A320,SIN,121,BY,51,,1,0,
3760465290,A330,CKG,1002,E,52,BULK,1,0,
3760465290,A330,CKG,85,X,43R,LD3,1,0,
3760465290,A330,CKG,85,X,43L,LD3,1,0,
3760465290,A330,CKG,85,X,42R,LD3,1,0,
3760465290,A330,CKG,85,X,41R,LD3,1,0,
3760465290,A330,CKG,85,X,41L,LD3,1,0,
3760465290,A330,CKG,85,X,42L,LD3,1,0,
3761736266,A319,CTU,100,M,4H,,1,0,
3761736266,A319,CTU,400,C,4H,,1,0,
3761736266,A319,CTU,100,BY,1H,,1,0,
3760489144,A320,NKG,634,BY,1H,,1,0,
3760474893,A320,DYG,253,BY,3H,,1,0,
3760487392,A319,MIG,971,BY,4H,,1,0,
3760487392,A319,MIG,87,T,4H,,1,0,
3761005052,A319,LXA,170,C,4H,,1,0,
3761005052,A319,LXA,474,BY,1H,,1,0,
3760524229,A321,YBP,684,BY,3H,,1,0,
3760524229,A321,YBP,74,C,5H,,1,0,
3761666636,A321,CAN,335,BY,3H,,1,0,
3761666636,A321,CAN,80,C,3H,,1,0,
3760521659,A320,XIC,525,BY,1H,,1,0,
3761666547,A320,CAN,44,B,1H,,1,0,
3760520652,A320,WUS,247,B,1H,,1,0,
3760493646,A320,PEK,197,C,3H,,1,0,
3760493646,A320,PEK,589,BY,1H,,1,0,
3760518754,A319,URC,60,C,4H,,1,0,
3760518754,A319,URC,11,C,4H,,1,0,
3760518754,A319,URC,404,B,1H,,1,0,
3760493522,A319,PEK,200,BY,4H,,1,0,
3760493522,A319,PEK,28,BY,1H,,1,0,
3760493522,A319,PEK,511,BY,1H,,1,0,
3760526127,A320,KMG,300,C,1H,,1,0,
3760526127,A320,ZHY,90,B,4H,,1,0,
3760526127,A320,KMG,17,B,1H,,1,0,
3760483776,A320,KMG,300,C,1H,,1,0,
3760483776,A320,KMG,224,B,1H,,1,0,
3760483776,A320,KMG,755,C,3H,,1,0,
3760483776,A320,KMG,753,C,1H,,1,0,
3760483776,A320,KMG,600,BY,4H,,1,0,
3760483776,A320,KMG,21,BY,4H,,1,0,
3760483776,A320,KMG,754,C,1H,,1,0,
3760526017,A320,ZHY,263,C,4H,,1,0,
3760526017,A320,PEK,1226,C,1H,,1,0,
3760526017,A320,PEK,740,C,3H,,1,0,
3760526017,A320,PEK,136,C,5H,,1,0,
3760526017,A320,ZHY,32,BY,4H,,1,0,
3760526017,A320,PEK,177,BY,1H,,1,0,
3760493821,A320,PEK,1226,C,1H,,1,0,
3760493821,A320,PEK,263,BY,1H,,1,0,
3760493821,A320,PEK,740,C,3H,,1,0,
3760493821,A320,PEK,136,C,5H,,1,0,
3760493821,A320,PEK,542,BY,4H,,1,0,
3761665284,A321,CAN,898,C,3H,,1,0,
3761665284,A321,CAN,618,C,2H,,1,0,
3761665284,A321,CAN,342,C,3H,,1,0,
3761665284,A321,CAN,326,C,2H,,1,0,
3761665284,A321,CAN,324,C,5H,,1,0,
3761665284,A321,CAN,94,C,1H,,1,0,
3761665284,A321,CAN,10,C,4H,,1,0,
